date,v5c,v5b,v5,spy
2007-06-14,0.002758,0.002758,0.002758,0.002778
2007-06-15,0.005669,0.005669,0.005669,0.005689
2007-06-18,-0.006626,-0.006626,-0.006626,-0.006606
2007-06-19,0.000094,0.000094,0.000094,0.000115
2007-06-20,-0.014213,-0.014213,-0.014213,-0.014192
2007-06-21,0.003172,0.003172,0.003172,0.003193
2007-06-22,-0.009430,-0.009430,-0.009430,-0.009409
2007-06-25,-0.005201,-0.005201,-0.005201,-0.005180
2007-06-26,-0.010892,-0.010892,-0.010892,-0.010871
2007-06-27,0.012889,0.012889,0.012889,0.012910
2007-06-28,-0.003196,-0.003196,-0.003196,-0.003175
2007-06-29,0.000234,0.000234,0.000234,0.000332
2007-07-02,0.002360,0.002360,0.002360,0.004704
2007-07-03,0.003057,0.003057,0.003057,0.004008
2007-07-05,0.001305,0.001305,0.001305,0.001045
2007-07-06,0.003883,0.003883,0.003883,0.005257
2007-07-09,-0.007040,-0.007040,-0.007040,-0.006827
2007-07-10,-0.012949,-0.012949,-0.012949,-0.016617
2007-07-11,0.006590,0.006590,0.006590,0.008441
2007-07-12,0.009101,0.009101,0.009101,0.013193
2007-07-13,0.002196,0.002196,0.002196,0.002980
2007-07-16,-0.006415,-0.006415,-0.006415,-0.006436
2007-07-17,-0.003302,-0.003302,-0.003302,-0.003424
2007-07-18,0.000986,0.000986,0.000986,0.000528
2007-07-19,-0.001100,-0.001100,-0.001100,-0.000086
2007-07-20,-0.007513,-0.007513,-0.007513,-0.010124
2007-07-23,-0.000114,-0.000114,-0.000114,0.000690
2007-07-24,-0.008627,-0.008627,-0.008627,-0.013127
2007-07-25,0.004056,0.004056,0.004056,0.004600
2007-07-26,-0.006269,-0.006269,-0.006269,-0.012462
2007-07-27,-0.014579,-0.014579,-0.014579,-0.019660
2007-07-30,0.009203,0.009203,0.009203,0.013258
2007-07-31,-0.006338,-0.006338,-0.006338,-0.012528
2007-08-01,0.000054,0.000054,0.000054,0.002586
2007-08-02,0.000749,0.000749,0.000749,0.004931
2007-08-03,-0.011728,-0.011728,-0.011728,-0.025745
2007-08-06,0.017323,0.017323,0.017323,0.027082
2007-08-07,-0.002153,-0.002153,-0.002153,0.003230
2007-08-08,0.013086,0.013086,0.013086,0.021108
2007-08-09,-0.011460,-0.011460,-0.011460,-0.029201
2007-08-10,-0.001874,-0.001874,-0.001874,-0.004678
2007-08-13,0.012648,0.012648,0.012648,0.016196
2007-08-14,-0.001570,-0.001570,-0.001570,-0.010232
2007-08-15,-0.004842,-0.004842,-0.004842,-0.013031
2007-08-16,0.005054,0.005054,0.005054,0.009196
2007-08-17,0.008459,0.008459,0.008459,0.018367
2007-08-20,0.000396,0.000396,0.000396,0.000170
2007-08-21,-0.005917,-0.005917,-0.005917,-0.005179
2007-08-22,0.001546,0.001546,0.001546,0.007730
2007-08-23,-0.005334,-0.005334,-0.005334,-0.006050
2007-08-24,0.005689,0.005689,0.005689,0.012354
2007-08-27,0.001877,0.001877,0.001877,-0.002860
2007-08-28,-0.017693,-0.017693,-0.017693,-0.029827
2007-08-29,0.010182,0.010182,0.010182,0.020835
2007-08-30,-0.002553,-0.002553,-0.002553,-0.004048
2007-08-31,0.005142,0.005142,0.005142,0.009853
2007-09-04,0.003644,0.003644,0.003644,0.008486
2007-09-05,-0.006869,-0.006869,-0.006869,-0.010957
2007-09-06,-0.000550,-0.000550,-0.000550,0.000575
2007-09-07,-0.007267,-0.007267,-0.007267,-0.013906
2007-09-10,-0.003286,-0.003286,-0.003286,-0.004165
2007-09-11,0.007891,0.007891,0.007891,0.013450
2007-09-12,0.007381,0.007381,0.007381,0.008539
2007-09-13,0.009193,0.009193,0.009193,0.012498
2007-09-14,-0.000039,-0.000039,-0.000039,-0.000067
2007-09-17,-0.006179,-0.006179,-0.006179,-0.008686
2007-09-18,0.021963,0.021963,0.021963,0.036031
2007-09-19,-0.001988,-0.001988,-0.001988,0.000892
2007-09-20,-0.008578,-0.008578,-0.008578,-0.011853
2007-09-21,0.001406,0.001406,0.001406,0.002699
2007-09-24,-0.000209,-0.000209,-0.000209,-0.001097
2007-09-25,0.000620,0.000620,0.000620,-0.000345
2007-09-26,-0.002860,-0.002860,-0.002860,-0.000268
2007-09-27,-0.006564,-0.006564,-0.006564,-0.003627
2007-09-28,-0.002242,-0.002242,-0.002242,-0.003332
2007-10-01,0.010617,0.010617,0.010617,0.014357
2007-10-02,0.002706,0.002706,0.002706,0.002265
2007-10-03,-0.004300,-0.004300,-0.004300,-0.004953
2007-10-04,-0.001454,-0.001454,-0.001454,-0.000931
2007-10-05,0.007952,0.007952,0.007952,0.011881
2007-10-08,-0.000646,-0.000646,-0.000646,-0.002398
2007-10-09,0.004271,0.004271,0.004271,0.007382
2007-10-10,0.002610,0.002610,0.002610,0.002069
2007-10-11,-0.003267,-0.003267,-0.003267,-0.004842
2007-10-12,0.003698,0.003698,0.003698,0.005532
2007-10-15,-0.004636,-0.004636,-0.004636,-0.007415
2007-10-16,-0.009126,-0.009126,-0.009126,-0.011725
2007-10-17,-0.000026,-0.000026,-0.000026,0.000989
2007-10-18,-0.005991,-0.005991,-0.005991,-0.007175
2007-10-19,-0.017536,-0.017536,-0.017536,-0.026156
2007-10-22,0.004462,0.004462,0.004462,0.006390
2007-10-23,0.005524,0.005524,0.005524,0.008208
2007-10-24,-0.001635,-0.001635,-0.001635,-0.002234
2007-10-25,0.001193,0.001193,0.001193,0.001986
2007-10-26,0.007846,0.007846,0.007846,0.011723
2007-10-29,-0.002350,-0.002350,-0.002350,-0.001250
2007-10-30,-0.007985,-0.007985,-0.007985,-0.010258
2007-10-31,0.001495,0.001495,0.001246,0.004663
2007-11-01,-0.013268,-0.013268,-0.014753,-0.022473
2007-11-02,0.000648,0.000648,-0.002998,-0.002618
2007-11-05,-0.003160,-0.003160,-0.002948,-0.005454
2007-11-06,0.007599,0.007599,0.005946,0.010383
2007-11-07,-0.022543,-0.022543,-0.024119,-0.033081
2007-11-08,-0.007746,-0.007746,-0.007383,-0.009040
2007-11-09,-0.001197,-0.001197,-0.002816,-0.007364
2007-11-12,0.007571,0.007571,0.012818,0.009491
2007-11-13,0.010934,0.010934,0.010374,0.020340
2007-11-14,0.010901,0.010901,0.008842,0.007928
2007-11-15,-0.007357,-0.007357,-0.005609,-0.010377
2007-11-16,-0.002807,-0.002807,-0.002768,-0.002194
2007-11-19,-0.007403,-0.007403,-0.007876,-0.012467
2007-11-20,-0.000692,-0.000692,-0.004036,-0.002024
2007-11-21,-0.011499,-0.011499,-0.012479,-0.019230
2007-11-23,0.016322,0.016322,0.012768,0.018489
2007-11-26,-0.010809,-0.010809,-0.014794,-0.022064
2007-11-27,0.000809,0.000809,0.004515,0.008304
2007-11-28,0.012424,0.012424,0.014573,0.026437
2007-11-29,0.007189,0.007189,0.007499,0.008034
2007-11-30,0.003951,0.003951,0.006441,0.013118
2007-12-03,-0.002542,-0.002542,-0.005644,-0.010066
2007-12-04,0.000962,0.000962,-0.000798,-0.006484
2007-12-05,0.017171,0.017171,0.020792,0.032544
2007-12-06,0.003953,0.003953,0.004519,0.013758
2007-12-07,-0.005091,-0.005091,-0.001673,-0.001882
2007-12-10,-0.002402,-0.002402,-0.003420,0.001262
2007-12-11,-0.003304,-0.003304,-0.005400,-0.023024
2007-12-12,-0.000504,-0.000504,-0.001056,0.005081
2007-12-13,-0.004714,-0.004714,0.000515,-0.000769
2007-12-14,0.005291,0.005291,0.006182,-0.001586
2007-12-17,-0.004468,-0.004468,-0.005620,-0.014886
2007-12-18,0.005025,0.005025,0.001967,0.005583
2007-12-19,0.002610,0.002610,0.000000,0.000000
2007-12-20,0.018920,0.018920,0.020262,0.025325
2007-12-21,0.004726,0.004726,0.005364,0.014718
2007-12-24,0.004058,0.004058,0.004927,0.009863
2007-12-26,-0.001578,-0.001578,-0.001979,-0.000731
2007-12-27,-0.007356,-0.007356,-0.009563,-0.017920
2007-12-28,0.005218,0.005218,-0.000067,-0.001650
2007-12-31,-0.000378,-0.000378,-0.000941,-0.004056
2008-01-02,0.012652,0.012652,0.013301,-0.006352
2008-01-03,0.005474,0.005474,0.005143,0.003420
2008-01-04,-0.017362,-0.017362,-0.017764,-0.025354
2008-01-07,0.001418,0.001418,-0.001849,0.003632
2008-01-08,-0.004944,-0.004944,-0.003743,-0.018548
2008-01-09,0.013773,0.013773,0.012947,0.017903
2008-01-10,0.000537,0.000537,0.000183,0.004445
2008-01-11,-0.000547,-0.000547,-0.001759,-0.006959
2008-01-14,0.012746,0.012746,0.013075,0.010650
2008-01-15,-0.017812,-0.017812,-0.019975,-0.023962
2008-01-16,-0.015460,-0.015460,-0.015869,-0.010943
2008-01-17,-0.015490,-0.015490,-0.017100,-0.028631
2008-01-18,-0.004988,-0.004988,-0.003987,-0.010268
2008-01-22,-0.002835,-0.002835,-0.005997,-0.010146
2008-01-23,0.017894,0.017894,0.016853,0.029987
2008-01-24,-0.005110,-0.005110,-0.001702,-0.002373
2008-01-25,-0.000308,-0.001864,-0.001804,-0.015635
2008-01-28,0.009603,0.011029,0.011823,0.014321
2008-01-29,-0.002814,-0.002541,-0.001049,0.002741
2008-01-30,-0.000515,-0.000964,-0.000741,-0.004514
2008-01-31,0.004777,0.004366,0.004005,0.014659
2008-02-01,0.014532,0.013730,0.011508,0.028547
2008-02-04,-0.012724,-0.012253,-0.010005,-0.016764
2008-02-05,-0.009055,-0.008443,-0.009985,-0.021816
2008-02-06,0.000646,0.000816,0.000218,-0.006025
2008-02-07,0.009215,0.008768,0.011007,0.015930
